,company/brand,stage,amount,headquarter,what_it_does,year_collected,investor,sector,founded,founders
787,CHARGE+ZONE,Pre-series A,3000000.0,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2020,Mumbai Angels,Transportation & Logistics,2018.0,"Kartikey Hariyani, Pavan Bakeri"
788,Stones2milestones,Bridge,2000000.0,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2020,"Menterra Venture Advisors, Emandi Sankara Rao",Education,2008.0,"Kavish Gadia, Nikhil Saraf"
789,Udacity,Debt,75000000.0,California,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2020,"Hercules Capital, Inc.Bertelsmann",Education,2011.0,"David Stavens, Mike Sokolsky, Sebastian Thrun"
790,AjnaLens,Bridge,1000000.0,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020,"Mohsin Hani Al Bahrani, MoD",IT & Technology,2014.0,"Abhijit Patil, Abhishek Tomar, Pankaj Raut"
791,Gully Network,Pre-series A,1200000.0,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,2020,"CP Ventures, Orios Venture Partners",Retail,2019.0,"Ajay Nain, Prateek Chaturvedi"
792,TurboHire,Seed,1000000.0,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020,"Kia Ora Ventures, Pentathlon Ventures",Business Services,2018.0,"Abhishek Kabra, Aman Gour"
793,Traya,Seed,150000.0,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,2020,"Kae Capital, Whiteboard Capital",Healthcare & Life Sciences,2020.0,"Altaf Saiyed, Saloni Anand"
794,Charcoal Eats,,2000000.0,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2020,Lokmat Investments,Consumer Goods,2015.0,"Anurag Mehrotra, Krishnakant Thakur, Mohammed Bhol, Gautam Singh"
795,Mitron TV,,2743000.0,Bangalore,Mitron is a free short videoplatform for next generation,2020,9Unicorns,Media & Entertainment,2020.0,"Shivank Agarwal, Anish Khandelwal"
796,Svami,,800000.0,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2020,"Niren Shah, Rukam Capital Trust",Consumer Goods,2016.0,Sahil Jatana
797,Dhurnia,,100000.0,"Dhingsara, Haryana",Developer of an online learning platform intended for various competitive exam preparations.,2020,"Chandigarh Angels Network, Modulor Capital",Education,2018.0,"Ajay Kumar, Murari Singh"
798,Expertrons,,2743000.0,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,2020,"Rohit Chanana, Sukanta Ganguly",Education,2019.0,Jatin Solanki
799,Leena AI,,8000000.0,"New York, United States",Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2020,"Alan Patricof, Jim Moffatt",IT & Technology,2015.0,"Adit Jain, Anand Prajapati, Mayank Goyal"
800,Bizlog,,1000000.0,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2020,IAN Fund,Transportation & Logistics,2016.0,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam"
801,Tamasha.live,,300000.0,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",2020,"9Unicorns, Titan Capital, FirstCheque",Media & Entertainment,2020.0,"Saurabh Gupta, Siddharth Swarnkar"
802,Fedo,,1000000.0,Bangalore,Artificial Intelligence based Credit Score for Health,2020,AIM Smart City,IT & Technology,2017.0,"Arun Mallavarapu, Prasanth Madavana"
